Index,brand,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,car_age,horsepower,engine_size,cylinder_count
99,Toyota,124756,Gasoline,Manual,Other,Other,Accident reported,Yes,4995,22,130.0,1.8,4.0
100,Cadillac,2415,Gasoline,Automatic,Other,Grey,None reported,Unknown,104900,2,,6.2,
101,GMC,116226,Gasoline,Automatic,Black,Black,None reported,Yes,7900,13,288.0,3.6,6.0
102,Lexus,37869,Gasoline,Automatic,Silver,Red,None reported,Unknown,75950,5,,5.0,
103,BMW,41500,Hybrid,Unknown,White,Black,None reported,Yes,86000,6,369.0,1.5,3.0
104,Lexus,87001,Hybrid,Automatic,Gold,Other,None reported,Yes,17995,12,200.0,2.5,4.0
105,Cadillac,4451,Gasoline,Automatic,White,Black,Accident reported,Yes,55655,3,,3.0,
106,BMW,27158,Gasoline,Automatic,Blue,Black,None reported,Unknown,39998,5,,,
107,Chevrolet,139804,Gasoline,Automatic,White,Grey,Accident reported,Yes,14500,11,195.0,4.3,6.0
108,Jeep,27300,Gasoline,Automatic,Green,Black,None reported,Yes,47500,3,285.0,3.6,6.0
109,BMW,36812,Gasoline,Unknown,White,Other,None reported,Yes,27000,11,240.0,2.0,4.0
110,Land,144000,Gasoline,Automatic,Black,Black,Accident reported,Yes,18000,9,340.0,3.0,6.0
111,Cadillac,44500,Gasoline,Automatic,Blue,White,None reported,Yes,28900,6,237.0,2.0,4.0
112,BMW,10917,Gasoline,Automatic,Black,Black,None reported,Unknown,73998,4,,,
113,Bentley,8332,Gasoline,Automatic,White,Other,None reported,Yes,47350,20,400.0,6.75,8.0
114,Lincoln,51247,Gasoline,Automatic,Grey,Other,None reported,Unknown,47698,5,,,
115,Mercedes-Benz,69000,Gasoline,Unknown,Black,Brown,None reported,Yes,36500,9,550.0,5.5,8.0
116,RAM,147834,Gasoline,Automatic,White,Black,None reported,Yes,32662,4,,3.6,
117,Ford,105000,E85 Flex Fuel,Automatic,White,Black,Accident reported,Yes,6600,12,300.0,3.7,6.0
118,Audi,92203,Gasoline,Unknown,Red,Other,None reported,Yes,9995,14,211.0,2.0,4.0
119,Nissan,15600,Gasoline,Unknown,White,Black,None reported,Yes,69500,15,485.0,3.8,6.0
120,Land,104700,Gasoline,Automatic,White,Other,Accident reported,Unknown,30775,7,,,
121,Toyota,72348,Gasoline,Automatic,Red,Grey,Accident reported,Yes,9995,15,132.0,1.8,4.0
122,Rivian,2500,Unknown,Automatic,Green,White,None reported,Yes,94000,2,835.0,,
123,Mercedes-Benz,13177,Gasoline,Automatic,White,Black,None reported,Unknown,44798,3,,,
124,Porsche,96000,Hybrid,Unknown,White,Red,Accident reported,Yes,23000,9,416.0,3.0,6.0
125,Chevrolet,93009,E85 Flex Fuel,Automatic,White,Other,None reported,Yes,22495,14,,5.3,
126,INFINITI,52750,Hybrid,Automatic,White,Black,Accident reported,Yes,28998,9,360.0,3.5,6.0
127,Audi,25361,Hybrid,Automatic,Grey,Black,None reported,Unknown,49998,5,,,
128,Audi,98527,Gasoline,Automatic,Black,Black,Unknown,Unknown,9995,10,280.0,3.0,6.0
129,Lucid,1300,Unknown,Automatic,Black,Grey,Unknown,Unknown,86900,2,620.0,,
130,Chrysler,87305,Unknown,Automatic,Silver,Black,None reported,Yes,9000,8,,,
131,Audi,72922,Gasoline,Automatic,White,Black,Unknown,Unknown,25999,13,265.0,2.0,4.0
132,BMW,41000,Gasoline,Automatic,Black,Black,None reported,Yes,30000,10,445.0,4.4,8.0
133,Subaru,42125,Gasoline,Automatic,Black,Black,None reported,Yes,27899,4,,2.5,
134,Mercedes-Benz,62000,Gasoline,Unknown,Black,Black,None reported,Yes,40000,9,469.0,4.0,8.0
135,Land,153843,Gasoline,Automatic,Red,Other,Accident reported,Yes,9950,19,300.0,4.4,8.0
136,BMW,35248,Gasoline,Automatic,Grey,Black,None reported,Unknown,53998,6,,,
137,Ford,194454,Gasoline,Automatic,White,Black,None reported,Yes,9888,10,169.0,2.5,4.0
138,Lexus,21000,Gasoline,Unknown,White,Black,None reported,Yes,89999,4,383.0,5.7,8.0
139,Porsche,18494,Gasoline,Manual,Black,Black,Unknown,Unknown,86900,12,400.0,3.8,6.0
140,Dodge,218000,Gasoline,Automatic,Red,Grey,None reported,Yes,12990,19,330.0,5.7,8.0
141,Nissan,67800,Gasoline,Automatic,Silver,Black,Accident reported,Yes,36500,4,400.0,5.6,8.0
142,Porsche,79000,Gasoline,Unknown,Red,Black,Accident reported,Yes,42999,11,275.0,2.7,6.0
143,Mercedes-Benz,24906,Hybrid,Automatic,Grey,Black,None reported,Unknown,63998,3,,,
144,Chevrolet,66840,Gasoline,Automatic,White,Grey,Accident reported,Yes,12000,19,303.0,5.3,8.0
145,BMW,86000,Gasoline,Unknown,Blue,White,None reported,Yes,32000,12,560.0,4.4,8.0
146,Hyundai,654,Gasoline,Automatic,Black,Black,None reported,Yes,34599,2,,2.0,
147,Chevrolet,75000,Gasoline,Automatic,Black,Black,None reported,Yes,12500,20,240.0,3.8,6.0
148,Land,84000,Gasoline,Automatic,Other,Black,Accident reported,Yes,22800,10,240.0,2.0,4.0
149,Audi,52500,Gasoline,Unknown,Grey,Grey,None reported,Yes,39999,8,450.0,4.0,8.0
150,GMC,120000,Gasoline,Automatic,Silver,Grey,None reported,Yes,7500,14,288.0,3.6,6.0
151,Alfa,18665,Gasoline,Automatic,White,Other,None reported,Yes,35645,5,,2.0,
152,Ferrari,19987,Gasoline,Automatic,Black,Brown,None reported,Yes,149900,9,651.0,6.3,12.0
153,Kia,36486,Gasoline,Automatic,Black,Other,Accident reported,Yes,23950,8,420.0,5.0,8.0
154,Ford,162100,E85 Flex Fuel,Automatic,Black,Grey,None reported,Yes,12500,12,255.0,5.4,8.0
155,Tesla,13079,Unknown,Automatic,Black,White,None reported,Yes,47000,3,455.0,,
156,Toyota,28377,Gasoline,Automatic,Silver,Grey,None reported,Unknown,36999,3,,4.0,
157,Subaru,32744,Gasoline,Automatic,Black,Grey,None reported,Yes,24000,5,182.0,2.5,4.0
158,Porsche,54000,Gasoline,Automatic,White,Other,Accident reported,Yes,26000,13,300.0,3.6,6.0
159,Toyota,202055,Gasoline,Automatic,Silver,Grey,Accident reported,Yes,8500,17,236.0,4.0,6.0
160,RAM,65000,Diesel,Automatic,Black,Black,None reported,Yes,65000,6,370.0,6.7,6.0
161,Kia,9686,Gasoline,Automatic,Red,Black,None reported,Yes,30990,3,,2.4,
162,Cadillac,49620,Gasoline,Automatic,White,Grey,None reported,Yes,10499,15,275.0,4.6,8.0
163,Toyota,213000,Gasoline,Automatic,White,Other,None reported,Yes,26500,28,212.0,4.5,6.0
164,Nissan,16010,Gasoline,Automatic,White,Black,None reported,Yes,114000,5,565.0,3.8,6.0
165,Lexus,820,Gasoline,Unknown,Black,Black,None reported,Unknown,51998,2,,,
166,Audi,68000,Gasoline,Automatic,Blue,Black,None reported,Yes,36499,4,248.0,2.0,4.0
167,Lexus,82000,Gasoline,Automatic,White,Other,None reported,Yes,25000,26,230.0,4.7,8.0
168,GMC,27352,Gasoline,Automatic,White,Black,None reported,Unknown,27785,3,,1.5,
169,Ford,129000,Gasoline,Automatic,White,Grey,Accident reported,Yes,7000,13,171.0,2.5,4.0
170,Lexus,106731,Gasoline,Automatic,White,Other,Accident reported,Yes,30000,11,360.0,4.6,8.0
171,Ford,34672,Gasoline,Automatic,White,White,None reported,Yes,45500,6,400.0,3.5,6.0
172,Chevrolet,55900,Gasoline,Unknown,Other,Other,None reported,Yes,8950,15,252.0,3.6,6.0
173,Audi,3158,Gasoline,Automatic,Grey,Black,None reported,Unknown,128900,2,,4.0,
174,Audi,82000,Gasoline,Automatic,White,Brown,None reported,Yes,17000,10,220.0,2.0,4.0
175,Genesis,4785,Gasoline,Automatic,Black,Black,None reported,Yes,42850,2,,2.0,
176,Chevrolet,20497,Gasoline,Automatic,Blue,Black,None reported,Unknown,22999,4,,1.3,
177,Scion,177600,Gasoline,Automatic,Silver,Black,Accident reported,Yes,7100,12,180.0,2.5,4.0
178,Lincoln,78568,Hybrid,Automatic,Blue,Other,None reported,Yes,15500,11,188.0,2.0,4.0
179,Ford,95000,E85 Flex Fuel,Automatic,White,Grey,None reported,Yes,43000,7,275.0,3.7,6.0
180,Porsche,4529,Gasoline,Automatic,Black,Black,None reported,Yes,417500,7,,3.8,
181,Ford,25240,Gasoline,Automatic,Grey,Other,Accident reported,Unknown,39951,4,,2.3,
182,Volvo,88300,Gasoline,Automatic,Blue,Other,Accident reported,Yes,11500,14,235.0,3.2,6.0
183,Chevrolet,98000,E85 Flex Fuel,Automatic,Silver,Black,Accident reported,Yes,27499,12,320.0,5.3,8.0
184,Audi,20675,Gasoline,Unknown,Grey,Grey,None reported,Yes,76000,7,400.0,2.5,5.0
185,Lincoln,95000,Gasoline,Automatic,Black,Black,None reported,Yes,10900,17,300.0,5.4,8.0
186,Hyundai,107000,Gasoline,Automatic,Blue,Blue,Accident reported,Yes,6250,15,138.0,2.0,4.0
187,Audi,60000,Gasoline,Unknown,Black,Black,Accident reported,Yes,24700,9,354.0,3.0,6.0
188,Mitsubishi,33000,Gasoline,Manual,Black,Black,None reported,Yes,34999,13,291.0,2.0,4.0
189,Tesla,500,Unknown,Automatic,Black,White,None reported,Yes,60000,2,455.0,,
190,Mercedes-Benz,108500,Gasoline,Automatic,White,Other,None reported,Yes,63500,9,523.0,6.0,12.0
191,Nissan,37800,Gasoline,Unknown,Orange,Orange,None reported,Yes,149500,8,565.0,3.8,6.0
192,Mercedes-Benz,74422,Gasoline,Automatic,Black,Grey,None reported,Unknown,44798,7,,,
193,Chevrolet,55621,Gasoline,Automatic,Silver,Black,None reported,Unknown,34562,6,,3.6,
194,Mazda,46707,Gasoline,Automatic,Silver,Black,Accident reported,Yes,32541,4,,2.5,
195,Ford,26500,Gasoline,Automatic,White,Other,None reported,Yes,65900,3,440.0,3.5,6.0
196,Nissan,10001,Gasoline,Automatic,Black,Black,None reported,Yes,47214,5,,5.6,
197,Lexus,19050,Gasoline,Automatic,Black,Other,None reported,Yes,76900,6,383.0,5.7,8.0
198,Chevrolet,52000,Gasoline,Automatic,White,Black,None reported,Yes,35800,5,310.0,3.6,6.0
199,Mercedes-Benz,65000,Diesel,Automatic,Black,Black,Accident reported,Yes,54999,11,188.0,3.0,6.0
200,BMW,140000,Gasoline,Unknown,Black,Other,None reported,Yes,6730,21,225.0,3.0,6.0
201,Ford,75600,Gasoline,Automatic,Blue,Black,Accident reported,Yes,14950,7,181.0,1.5,4.0
202,Lincoln,117292,Gasoline,Automatic,Other,Other,None reported,Yes,12000,10,240.0,2.0,4.0
203,Ford,1897,Gasoline,Manual,White,Other,None reported,Unknown,429998,20,,,
204,Genesis,26000,Gasoline,Unknown,White,Other,None reported,Yes,33600,8,420.0,5.0,8.0
205,Lexus,2071,Gasoline,Automatic,Other,Other,None reported,Unknown,99950,3,,5.0,
206,Ford,15629,Gasoline,Manual,Black,Black,None reported,Unknown,61900,11,,5.8,
207,Saturn,15020,Gasoline,Automatic,Silver,Red,None reported,Yes,18500,17,173.0,2.4,4.0
208,Audi,11322,Gasoline,Automatic,Grey,Black,None reported,Unknown,119900,3,,4.0,
209,Toyota,50361,Gasoline,Automatic,Silver,Black,None reported,Unknown,65998,9,,,
210,Mercedes-Benz,115000,Gasoline,Unknown,Black,Black,Accident reported,Yes,36000,12,429.0,4.6,8.0
211,Porsche,28500,Gasoline,Manual,Silver,Black,None reported,Yes,63500,20,355.0,3.8,6.0
212,Mercedes-Benz,51700,Gasoline,Unknown,White,Black,None reported,Yes,32000,7,375.0,2.0,4.0
213,Ford,148949,Gasoline,Automatic,Blue,Other,None reported,Yes,3900,17,263.0,3.5,6.0
214,BMW,39300,Gasoline,Automatic,White,Other,Accident reported,Yes,31750,7,320.0,3.0,6.0
215,Honda,82323,Gasoline,Manual,Black,Black,None reported,Yes,28500,17,237.0,2.2,4.0
216,Acura,3574,Gasoline,Unknown,Blue,Other,None reported,Unknown,34998,2,,,
217,Ford,109357,Gasoline,Automatic,Green,Other,None reported,Yes,12749,24,310.0,6.8,10.0
218,Mercedes-Benz,46000,Gasoline,Automatic,White,Grey,None reported,Yes,18853,21,302.0,5.0,8.0
219,Mercedes-Benz,123112,Gasoline,Automatic,Silver,Black,Accident reported,Yes,104999,18,382.0,5.5,8.0
220,INFINITI,37100,Gasoline,Manual,Grey,Black,None reported,Yes,16900,18,306.0,3.5,6.0
221,Volkswagen,89000,Gasoline,Manual,Silver,Black,None reported,Yes,14500,9,210.0,2.0,4.0
222,Dodge,1240,Gasoline,Automatic,Other,Black,None reported,Unknown,53900,3,,6.4,
223,Lincoln,67073,Gasoline,Automatic,Black,Black,Accident reported,Yes,47999,6,450.0,3.5,6.0
224,Maserati,28700,Gasoline,Automatic,White,Red,Unknown,Unknown,24900,10,404.0,3.0,6.0
225,Tesla,8200,Unknown,Automatic,Black,Black,None reported,Yes,93999,2,670.0,,
226,Mercedes-Benz,41000,Gasoline,Unknown,Grey,Black,None reported,Yes,108900,7,563.0,5.5,8.0
227,Ford,98995,Gasoline,Automatic,Silver,Other,None reported,Unknown,34998,7,,,
228,Volkswagen,123815,Gasoline,Automatic,Black,Grey,None reported,Yes,5000,13,283.0,3.6,6.0
229,Bugatti,6330,Gasoline,Automatic,White,White,None reported,Yes,1950995,14,,8.0,
230,Toyota,61341,Gasoline,Automatic,Black,Black,Accident reported,Unknown,34084,5,,3.5,
231,Honda,96473,Gasoline,Automatic,Black,Black,None reported,Unknown,15599,9,,2.0,
232,Jeep,66107,Gasoline,Automatic,Black,Black,None reported,Unknown,31331,8,,3.6,
233,Land,114287,Gasoline,Automatic,Black,Black,None reported,Yes,9900,17,400.0,4.2,8.0
234,Acura,75000,Gasoline,Automatic,Gold,Other,None reported,Yes,14500,10,150.0,2.0,4.0
235,BMW,45800,Gasoline,Automatic,Gold,Black,Unknown,Unknown,36800,9,560.0,4.4,8.0
236,Polestar,12172,Unknown,Automatic,Grey,Other,None reported,Unknown,35999,4,,,
237,BMW,70582,Gasoline,Automatic,Black,White,Accident reported,Yes,35000,9,300.0,3.0,6.0
238,Porsche,33088,Gasoline,Automatic,Black,Black,None reported,Yes,49750,11,325.0,3.4,6.0
239,Lincoln,1850,Hybrid,Automatic,Silver,Other,None reported,Yes,49000,4,266.0,2.5,4.0
240,Cadillac,94155,Gasoline,Automatic,White,Other,None reported,Yes,10500,17,275.0,4.6,8.0
241,Cadillac,25000,Gasoline,Automatic,Red,Other,None reported,Yes,17999,9,335.0,3.6,6.0
242,GMC,99500,Gasoline,Automatic,Grey,Black,None reported,Yes,27995,9,355.0,5.3,8.0
243,INFINITI,158564,Gasoline,Automatic,Blue,Other,None reported,Yes,8750,16,328.0,3.7,6.0
244,Ford,20000,Gasoline,Automatic,Black,Black,None reported,Yes,78499,2,310.0,3.5,6.0
245,Cadillac,46711,Gasoline,Automatic,Silver,Black,Accident reported,Yes,20850,7,304.0,3.6,6.0
246,Nissan,46496,Gasoline,Automatic,Black,Grey,None reported,Yes,41000,8,375.0,5.6,8.0
247,Mercedes-Benz,19800,Gasoline,Automatic,Silver,Black,None reported,Yes,53800,6,362.0,3.0,6.0
248,Toyota,175000,Gasoline,Automatic,Black,Other,Accident reported,Yes,37900,17,381.0,5.7,8.0
249,Toyota,61500,Gasoline,Automatic,White,Black,None reported,Yes,63500,9,381.0,5.7,8.0
250,RAM,49750,Gasoline,Automatic,Black,Grey,None reported,Yes,65000,9,280.0,3.6,6.0
251,Lamborghini,38800,Gasoline,Unknown,Orange,Orange,None reported,Yes,100000,18,493.0,5.0,10.0
252,Lincoln,83765,Gasoline,Automatic,Black,Black,None reported,Yes,8995,14,263.0,3.5,6.0
253,Mercedes-Benz,7388,Unknown,Automatic,Grey,Other,None reported,Yes,105500,2,355.0,,
254,Lamborghini,278,Gasoline,Automatic,Other,Other,None reported,Unknown,359991,2,,5.2,
255,Alfa,1966,Gasoline,Automatic,Other,Black,None reported,Unknown,75900,3,,2.9,
256,Chevrolet,50648,Gasoline,Automatic,Blue,Black,None reported,Unknown,23995,4,,1.2,
257,Toyota,231500,Unknown,Automatic,White,Grey,None reported,Yes,29500,32,,,
258,Lamborghini,13692,Gasoline,Automatic,Black,Red,None reported,Yes,257000,4,641.0,4.0,8.0
259,INFINITI,60058,Gasoline,Automatic,White,Other,Accident reported,Yes,15000,12,328.0,3.7,6.0
260,Maserati,54423,Gasoline,Automatic,Black,Black,None reported,Yes,33950,8,424.0,3.0,6.0
261,Toyota,24001,Gasoline,Automatic,Other,Other,None reported,Unknown,47498,3,,3.5,
262,Nissan,14735,Gasoline,Automatic,White,Black,None reported,Unknown,50998,3,,,
263,Audi,2425,Hybrid,Automatic,Black,Other,None reported,Unknown,42998,2,,,
264,Ford,2050,Gasoline,Unknown,Grey,Black,None reported,Yes,94999,3,760.0,5.2,8.0
265,Lincoln,64855,Gasoline,Automatic,Silver,Other,None reported,Yes,46995,6,450.0,3.5,6.0
266,Mercedes-Benz,16238,Unknown,Automatic,White,Other,None reported,Yes,62479,3,329.0,,
267,RAM,18051,Gasoline,Automatic,Blue,Black,None reported,Yes,47995,3,,5.7,
268,Lincoln,36524,Gasoline,Automatic,Black,Black,None reported,Yes,14900,21,239.0,4.6,8.0
269,Acura,14896,Gasoline,Unknown,Silver,Other,None reported,Unknown,39998,3,,,
270,Toyota,14048,Hybrid,Automatic,Black,Black,None reported,Unknown,29999,3,,2.5,
271,Honda,224000,Gasoline,Manual,Black,Grey,None reported,Yes,3900,22,160.0,2.4,4.0
