,brand,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,engine_size,horsepower,cylinder_count,log_transformed_price,car_age
38,Hyundai,16200,Gasoline,Automatic,Gold,Other,no_accident,Yes,2.7,173.0,6.0,9.012011377036412,17
39,BMW,70000,Gasoline,Automatic,White,Other,yes_accident,Yes,2.0,240.0,4.0,9.90353755128617,10
40,Bentley,20200,E85 Flex Fuel,Automatic,Black,Black,no_accident,Yes,6.0,552.0,12.0,11.289169226001263,13
41,Honda,2978,Gasoline,Automatic,Silver,Grey,no_accident,Unknown,3.7039586206896553,331.9684177611007,6.254491996079713,10.725445626675544,1
42,Dodge,189719,Diesel,Automatic,White,Grey,yes_accident,Yes,3.0,331.9684177611007,6.0,9.546884034617925,17
43,BMW,9949,Gasoline,Automatic,Blue,Black,no_accident,Unknown,3.7039586206896553,331.9684177611007,6.254491996079713,11.235840378931302,5
44,Lucid,3552,Unknown,Automatic,Red,Other,no_accident,Yes,3.7039586206896553,536.0,6.254491996079713,11.695247021764184,2
45,Audi,54000,Gasoline,Automatic,Black,Brown,yes_accident,Yes,3.0,310.0,6.0,10.515451792270389,12
46,Chevrolet,51351,Gasoline,Automatic,Black,Black,no_accident,Yes,5.3,331.9684177611007,6.254491996079713,10.67239134549532,3
47,MINI,24280,Gasoline,Automatic,Black,Black,yes_accident,Yes,2.0,228.0,4.0,10.275085591132715,7
48,Toyota,89148,Gasoline,Automatic,Black,Black,no_accident,Yes,3.5,268.0,6.0,9.770013301136158,8
49,Porsche,73043,Gasoline,Automatic,White,Black,no_accident,Yes,3.6,300.0,6.0,10.341452118734878,7
50,Mercedes-Benz,60000,Gasoline,Unknown,Grey,Black,yes_accident,Yes,4.0,503.0,8.0,10.868587496017359,7
51,Honda,73549,Gasoline,Automatic,Other,Black,yes_accident,Unknown,2.4,331.9684177611007,6.254491996079713,9.945061264446057,8
52,Hummer,110900,Gasoline,Automatic,Grey,Black,no_accident,Yes,6.0,325.0,8.0,9.87822102528824,19
53,Porsche,39000,Gasoline,Automatic,Blue,Black,no_accident,Yes,3.8,400.0,6.0,11.19822841866684,11
54,Mercedes-Benz,120000,Gasoline,Unknown,Black,Black,no_accident,Yes,2.0,208.0,4.0,9.893487720457795,8
55,Chrysler,134602,Gasoline,Unknown,Blue,Black,no_accident,Yes,3.5,250.0,6.0,8.922791623969637,15
56,Nissan,1094,Gasoline,Automatic,Blue,Grey,no_accident,Unknown,1.5,331.9684177611007,6.254491996079713,10.341742483467284,1
57,Audi,83500,Gasoline,Unknown,Silver,Black,no_accident,Yes,2.0,200.0,4.0,8.77971129020447,14
58,Ford,37060,Gasoline,Manual,Black,Black,no_accident,Yes,5.0,420.0,8.0,10.25769445336048,10
59,Acura,97700,Gasoline,Unknown,Blue,Other,no_accident,Yes,3.7,300.0,6.0,9.305286849285137,14
60,Volvo,40000,Hybrid,Unknown,Black,Black,no_accident,Yes,2.0,400.0,4.0,10.645448706505872,6
61,Audi,8940,Gasoline,Automatic,Red,Black,no_accident,Unknown,5.2,331.9684177611007,6.254491996079713,11.88380602959621,6
62,Mercedes-Benz,186000,Gasoline,Automatic,Black,Other,yes_accident,Yes,3.5,302.0,6.0,9.210440366976517,10
63,Toyota,13180,Gasoline,Automatic,Other,Other,no_accident,Unknown,3.7039586206896553,331.9684177611007,6.254491996079713,10.085767441795337,3
64,Lexus,104000,Gasoline,Automatic,Black,Black,no_accident,Yes,3.5,306.0,6.0,9.952325334619427,10
65,BMW,8500,Hybrid,Unknown,Grey,Other,no_accident,Yes,3.0,382.0,6.0,11.125806040978839,1
66,BMW,19069,Gasoline,Automatic,White,Other,no_accident,Unknown,3.7039586206896553,331.9684177611007,6.254491996079713,11.156236235215168,5
67,Cadillac,6090,Gasoline,Automatic,White,Other,no_accident,Yes,2.0,237.0,4.0,10.75579427616868,1
68,Lucid,4900,Unknown,Automatic,Red,Black,no_accident,Yes,3.7039586206896553,536.0,6.254491996079713,11.502885230075814,2
69,Audi,47523,Gasoline,Unknown,Black,Black,no_accident,Yes,2.0,248.0,4.0,10.34177474101152,5
70,Chrysler,43000,Gasoline,Automatic,Silver,Black,yes_accident,Yes,6.1,425.0,8.0,9.903287532533462,18
71,Bentley,14684,Gasoline,Automatic,White,White,no_accident,Yes,6.0,582.0,12.0,11.775297421715827,7
72,BMW,57800,Gasoline,Unknown,Black,Red,no_accident,Yes,3.0,425.0,6.0,10.933106969717286,5
73,Toyota,952,Gasoline,Manual,Silver,Grey,no_accident,Yes,1.6,300.0,3.0,10.818797803896322,1
74,Audi,21240,Gasoline,Automatic,Black,Black,yes_accident,Yes,2.9,444.0,6.0,11.00128284088368,5
75,Porsche,59338,Gasoline,Unknown,Black,Black,no_accident,Yes,3.0,335.0,6.0,10.657259354912508,5
76,Lamborghini,255,Gasoline,Automatic,Other,Other,no_accident,Unknown,5.2,331.9684177611007,6.254491996079713,12.793837087963153,1
77,Maserati,23230,Gasoline,Automatic,Black,Black,no_accident,Yes,3.0,424.0,6.0,10.714417768752456,5
78,Jaguar,48000,Gasoline,Automatic,Red,Black,yes_accident,Yes,3.0,340.0,6.0,10.308985993422082,7
79,Lexus,41059,Gasoline,Automatic,White,Other,no_accident,Yes,3.3,225.0,6.0,9.314790473332646,19
80,Land,21240,Gasoline,Automatic,White,Black,no_accident,Unknown,3.7039586206896553,331.9684177611007,6.254491996079713,10.545315122572783,4
81,Porsche,11500,Gasoline,Automatic,Silver,Other,no_accident,Yes,3.4,340.0,6.0,11.184435286790631,9
82,Genesis,9950,Gasoline,Automatic,Silver,Blue,no_accident,Yes,3.3,365.0,6.0,10.895831506195684,3
83,Volkswagen,633,Gasoline,Manual,White,Black,no_accident,Yes,2.0,315.0,4.0,10.778956289890028,1
84,Hyundai,66000,Hybrid,Automatic,White,Grey,yes_accident,Yes,2.4,199.0,4.0,9.674137279312397,9
85,Audi,59715,Gasoline,Automatic,Grey,Black,yes_accident,Yes,4.0,560.0,8.0,10.714439990727769,10
86,BMW,85252,Gasoline,Automatic,Black,Black,no_accident,Yes,3.0,326.0,6.0,9.825580063659602,12
87,Mercedes-Benz,17900,Hybrid,Automatic,Black,Black,yes_accident,Yes,3.0,362.0,6.0,11.289794413577894,4
88,BMW,25500,Gasoline,Automatic,White,Black,no_accident,Yes,4.4,560.0,8.0,10.915106645867503,8
89,Subaru,210703,Gasoline,Manual,Green,Other,unknown,Unknown,2.5,165.0,4.0,7.741099090035366,20
90,Hyundai,3800,Gasoline,Manual,White,Black,no_accident,Yes,2.0,276.0,4.0,10.434145214930487,1
91,Kia,36602,Hybrid,Automatic,Blue,Other,no_accident,Yes,1.6,331.9684177611007,6.254491996079713,10.373366173968712,2
92,Rivian,2800,Unknown,Automatic,White,Green,no_accident,Yes,3.7039586206896553,835.0,6.254491996079713,11.429554725537322,1
93,Aston,2165,Gasoline,Automatic,Black,Black,no_accident,Yes,5.2,331.9684177611007,6.254491996079713,12.5423698668371,3
94,Mercedes-Benz,33000,Gasoline,Automatic,Red,Black,yes_accident,Yes,2.0,241.0,4.0,10.305647203635566,6
95,BMW,76009,Gasoline,Automatic,White,Other,no_accident,Yes,3.0,300.0,6.0,10.124669180536797,8
96,Jeep,31349,Gasoline,Automatic,Other,Black,no_accident,Unknown,5.7,331.9684177611007,6.254491996079713,10.580683180882003,4
97,Lexus,48000,Gasoline,Unknown,Orange,Red,no_accident,Yes,3.5,306.0,6.0,10.401258331428318,9
98,BMW,91420,Gasoline,Automatic,Black,Black,no_accident,Yes,2.5,215.0,6.0,9.093918908958932,19
99,Toyota,124756,Gasoline,Manual,Other,Other,yes_accident,Yes,1.8,130.0,4.0,8.516392871245468,21
100,Cadillac,2415,Gasoline,Automatic,Other,Grey,no_accident,Unknown,6.2,331.9684177611007,6.254491996079713,11.560772327227417,1
101,GMC,116226,Gasoline,Automatic,Black,Black,no_accident,Yes,3.6,288.0,6.0,8.974744612722734,12
102,Lexus,37869,Gasoline,Automatic,Silver,Red,no_accident,Unknown,5.0,331.9684177611007,6.254491996079713,11.237843674494187,4
103,BMW,41500,Hybrid,Unknown,White,Black,no_accident,Yes,1.5,369.0,3.0,11.362114203075018,5
104,Lexus,87001,Hybrid,Automatic,Gold,Other,no_accident,Yes,2.5,200.0,4.0,9.797904789961063,11
105,Cadillac,4451,Gasoline,Automatic,White,Black,yes_accident,Yes,3.0,331.9684177611007,6.254491996079713,10.926945167603478,2
106,BMW,27158,Gasoline,Automatic,Blue,Black,no_accident,Unknown,3.7039586206896553,331.9684177611007,6.254491996079713,10.596609732783568,4
107,Chevrolet,139804,Gasoline,Automatic,White,Grey,yes_accident,Yes,4.3,195.0,6.0,9.581972891547895,10
108,Jeep,27300,Gasoline,Automatic,Green,Black,no_accident,Yes,3.6,285.0,6.0,10.768506042432708,2
109,BMW,36812,Gasoline,Unknown,White,Other,no_accident,Yes,2.0,240.0,4.0,10.203629181337648,10
110,Land,144000,Gasoline,Automatic,Black,Black,yes_accident,Yes,3.0,340.0,6.0,9.798182590890704,8
111,Cadillac,44500,Gasoline,Automatic,Blue,White,no_accident,Yes,2.0,237.0,4.0,10.27163147557801,5
112,BMW,10917,Gasoline,Automatic,Black,Black,no_accident,Unknown,3.7039586206896553,331.9684177611007,6.254491996079713,11.211806858581484,3
113,Bentley,8332,Gasoline,Automatic,White,Other,no_accident,Yes,6.75,400.0,8.0,10.765343217715396,19
114,Lincoln,51247,Gasoline,Automatic,Grey,Other,no_accident,Unknown,3.7039586206896553,331.9684177611007,6.254491996079713,10.77266571229609,4
115,Mercedes-Benz,69000,Gasoline,Unknown,Black,Brown,no_accident,Yes,5.5,550.0,8.0,10.505094936455558,8
116,RAM,147834,Gasoline,Automatic,White,Black,no_accident,Yes,3.6,331.9684177611007,6.254491996079713,10.39399821778671,3
117,Ford,105000,E85 Flex Fuel,Automatic,White,Black,yes_accident,Yes,3.7,300.0,6.0,8.79497643168877,11
118,Audi,92203,Gasoline,Unknown,Red,Other,no_accident,Yes,2.0,211.0,4.0,9.209940291954844,13
119,Nissan,15600,Gasoline,Unknown,White,Black,no_accident,Yes,3.8,485.0,6.0,11.149096419938578,14
120,Land,104700,Gasoline,Automatic,White,Other,yes_accident,Unknown,3.7039586206896553,331.9684177611007,6.254491996079713,10.33449044443213,6
121,Toyota,72348,Gasoline,Automatic,Red,Grey,yes_accident,Yes,1.8,132.0,4.0,9.209940291954844,14
122,Rivian,2500,Unknown,Automatic,Green,White,no_accident,Yes,3.7039586206896553,835.0,6.254491996079713,11.451060699493427,1
123,Mercedes-Benz,13177,Gasoline,Automatic,White,Black,no_accident,Unknown,3.7039586206896553,331.9684177611007,6.254491996079713,10.709941096725379,2
124,Porsche,96000,Hybrid,Unknown,White,Red,yes_accident,Yes,3.0,416.0,6.0,10.043292972227004,8
125,Chevrolet,93009,E85 Flex Fuel,Automatic,White,Other,no_accident,Yes,5.3,331.9684177611007,6.254491996079713,10.021092794610391,13
126,INFINITI,52750,Hybrid,Automatic,White,Black,yes_accident,Yes,3.5,360.0,6.0,10.275016625615446,8
127,Audi,25361,Hybrid,Automatic,Grey,Black,no_accident,Unknown,3.7039586206896553,331.9684177611007,6.254491996079713,10.81975828421028,4
128,Audi,98527,Gasoline,Automatic,Black,Black,unknown,Unknown,3.0,280.0,6.0,9.209940291954844,9
129,Lucid,1300,Unknown,Automatic,Black,Grey,unknown,Unknown,3.7039586206896553,620.0,6.254491996079713,11.372524818667134,1
130,Chrysler,87305,Unknown,Automatic,Silver,Black,no_accident,Yes,3.7039586206896553,331.9684177611007,6.254491996079713,9.105090961257085,7
131,Audi,72922,Gasoline,Automatic,White,Black,unknown,Unknown,2.0,265.0,4.0,10.165851817003619,12
132,BMW,41000,Gasoline,Automatic,Black,Black,no_accident,Yes,4.4,445.0,8.0,10.308985993422082,9
133,Subaru,42125,Gasoline,Automatic,Black,Black,no_accident,Yes,2.5,331.9684177611007,6.254491996079713,10.236381967809457,3
134,Mercedes-Benz,62000,Gasoline,Unknown,Black,Black,no_accident,Yes,4.0,469.0,8.0,10.596659732783579,8
135,Land,153843,Gasoline,Automatic,Red,Other,yes_accident,Yes,4.4,300.0,8.0,9.205428327615163,18
136,BMW,35248,Gasoline,Automatic,Grey,Black,no_accident,Unknown,3.7039586206896553,331.9684177611007,6.254491996079713,10.896720806856424,5
137,Ford,194454,Gasoline,Automatic,White,Black,no_accident,Yes,2.5,169.0,4.0,9.19917830726999,9
138,Lexus,21000,Gasoline,Unknown,White,Black,no_accident,Yes,5.7,383.0,8.0,11.407564949312402,3
139,Porsche,18494,Gasoline,Manual,Black,Black,unknown,Unknown,3.8,400.0,6.0,11.372524818667134,11
140,Dodge,218000,Gasoline,Automatic,Red,Grey,no_accident,Yes,5.7,330.0,8.0,9.472012088995733,18
141,Nissan,67800,Gasoline,Automatic,Silver,Black,yes_accident,Yes,5.6,400.0,8.0,10.505094936455558,3
142,Porsche,79000,Gasoline,Unknown,Red,Black,yes_accident,Yes,2.7,275.0,6.0,10.668955394675699,10
143,Mercedes-Benz,24906,Hybrid,Automatic,Grey,Black,no_accident,Unknown,3.7039586206896553,331.9684177611007,6.254491996079713,11.066622737219737,2
144,Chevrolet,66840,Gasoline,Automatic,White,Grey,yes_accident,Yes,5.3,303.0,8.0,9.392745258631441,18
145,BMW,86000,Gasoline,Unknown,Blue,White,no_accident,Yes,4.4,560.0,8.0,10.373522431293592,11
146,Hyundai,654,Gasoline,Automatic,Black,Black,no_accident,Yes,2.0,331.9684177611007,6.254491996079713,10.451608961045816,1
147,Chevrolet,75000,Gasoline,Automatic,Black,Black,no_accident,Yes,3.8,240.0,6.0,9.433563920090563,19
148,Land,84000,Gasoline,Automatic,Other,Black,yes_accident,Yes,2.0,240.0,4.0,10.034559673629849,9
149,Audi,52500,Gasoline,Unknown,Grey,Grey,no_accident,Yes,4.0,450.0,8.0,10.596634733096073,7
150,GMC,120000,Gasoline,Automatic,Silver,Grey,no_accident,Yes,3.6,288.0,6.0,8.922791623969637,13
151,Alfa,18665,Gasoline,Automatic,White,Other,no_accident,Yes,2.0,331.9684177611007,6.254491996079713,10.481392217583796,4
152,Ferrari,19987,Gasoline,Automatic,Black,Brown,no_accident,Yes,6.3,651.0,12.0,11.917730355182513,8
153,Kia,36486,Gasoline,Automatic,Black,Other,yes_accident,Yes,5.0,420.0,8.0,10.083765355620846,7
154,Ford,162100,E85 Flex Fuel,Automatic,Black,Grey,no_accident,Yes,5.4,255.0,8.0,9.433563920090563,11
155,Tesla,13079,Unknown,Automatic,Black,White,no_accident,Yes,3.7039586206896553,455.0,6.254491996079713,10.757924157061597,2
156,Toyota,28377,Gasoline,Automatic,Silver,Grey,no_accident,Unknown,4.0,331.9684177611007,6.254491996079713,10.51867319162636,2
157,Subaru,32744,Gasoline,Automatic,Black,Grey,no_accident,Yes,2.5,182.0,4.0,10.085850775128717,4
158,Porsche,54000,Gasoline,Automatic,White,Other,yes_accident,Yes,3.6,300.0,6.0,10.165890277802454,12
159,Toyota,202055,Gasoline,Automatic,Silver,Grey,yes_accident,Yes,4.0,236.0,6.0,9.04793908261736,16
160,RAM,65000,Diesel,Automatic,Black,Black,no_accident,Yes,6.7,370.0,6.0,11.082157933374816,5
161,Kia,9686,Gasoline,Automatic,Red,Black,no_accident,Yes,2.4,331.9684177611007,6.254491996079713,10.341452118734878,2
162,Cadillac,49620,Gasoline,Automatic,White,Grey,no_accident,Yes,4.6,275.0,8.0,9.259130536145614,14
163,Toyota,213000,Gasoline,Automatic,White,Other,no_accident,Yes,4.5,212.0,6.0,10.184937747111391,27
164,Nissan,16010,Gasoline,Automatic,White,Black,no_accident,Yes,3.8,565.0,6.0,11.643962499267984,4
165,Lexus,820,Gasoline,Unknown,Black,Black,no_accident,Unknown,3.7039586206896553,331.9684177611007,6.254491996079713,10.85897976660942,1
166,Audi,68000,Gasoline,Automatic,Blue,Black,no_accident,Yes,2.0,248.0,4.0,10.505067539570582,3
167,Lexus,82000,Gasoline,Automatic,White,Other,no_accident,Yes,4.7,230.0,8.0,10.12667110305036,25
168,GMC,27352,Gasoline,Automatic,White,Black,no_accident,Unknown,1.5,331.9684177611007,6.254491996079713,10.232287575708806,2
169,Ford,129000,Gasoline,Automatic,White,Grey,yes_accident,Yes,2.5,171.0,4.0,8.853808274977197,12
170,Lexus,106731,Gasoline,Automatic,White,Other,yes_accident,Yes,4.6,360.0,8.0,10.308985993422082,10
171,Ford,34672,Gasoline,Automatic,White,White,no_accident,Yes,3.5,400.0,6.0,10.725489582719506,5
172,Chevrolet,55900,Gasoline,Unknown,Other,Other,no_accident,Yes,3.6,252.0,6.0,9.099520536870939,14
173,Audi,3158,Gasoline,Automatic,Grey,Black,no_accident,Unknown,4.0,331.9684177611007,6.254491996079713,11.766799946849087,1
174,Audi,82000,Gasoline,Automatic,White,Brown,no_accident,Yes,2.0,220.0,4.0,9.741027444837728,9
175,Genesis,4785,Gasoline,Automatic,Black,Black,no_accident,Yes,2.0,331.9684177611007,6.254491996079713,10.665484260976488,1
176,Chevrolet,20497,Gasoline,Automatic,Blue,Black,no_accident,Unknown,1.3,331.9684177611007,6.254491996079713,10.043249494911286,3
177,Scion,177600,Gasoline,Automatic,Silver,Black,yes_accident,Yes,2.5,180.0,4.0,8.867990898182093,11
178,Lincoln,78568,Hybrid,Automatic,Blue,Other,no_accident,Yes,2.0,188.0,4.0,9.648659816955295,10
179,Ford,95000,E85 Flex Fuel,Automatic,White,Grey,no_accident,Yes,3.7,275.0,6.0,10.668978650219241,6
180,Porsche,4529,Gasoline,Automatic,Black,Black,no_accident,Yes,3.8,331.9684177611007,6.254491996079713,12.94204221847976,6
181,Ford,25240,Gasoline,Automatic,Grey,Other,yes_accident,Unknown,2.3,331.9684177611007,6.254491996079713,10.595434012519554,3
182,Volvo,88300,Gasoline,Automatic,Blue,Other,yes_accident,Yes,3.2,235.0,6.0,9.350189267092581,13
183,Chevrolet,98000,E85 Flex Fuel,Automatic,Silver,Black,yes_accident,Yes,5.3,320.0,8.0,10.221941283654663,11
184,Audi,20675,Gasoline,Unknown,Grey,Grey,no_accident,Yes,2.5,400.0,5.0,11.23850177707664,6
185,Lincoln,95000,Gasoline,Automatic,Black,Black,no_accident,Yes,5.4,300.0,8.0,9.296609807128359,16
186,Hyundai,107000,Gasoline,Automatic,Blue,Blue,yes_accident,Yes,2.0,138.0,4.0,8.740496729931813,14
187,Audi,60000,Gasoline,Unknown,Black,Black,yes_accident,Yes,3.0,354.0,6.0,10.114599007626499,8
188,Mitsubishi,33000,Gasoline,Manual,Black,Black,no_accident,Yes,2.0,291.0,4.0,10.46310334047155,12
189,Tesla,500,Unknown,Automatic,Black,White,no_accident,Yes,3.7039586206896553,455.0,6.254491996079713,11.002116507732017,1
190,Mercedes-Benz,108500,Gasoline,Automatic,White,Other,no_accident,Yes,6.0,523.0,12.0,11.05881093278828,8
191,Nissan,37800,Gasoline,Unknown,Orange,Orange,no_accident,Yes,3.8,565.0,6.0,11.915058360753719,7
192,Mercedes-Benz,74422,Gasoline,Automatic,Black,Grey,no_accident,Unknown,3.7039586206896553,331.9684177611007,6.254491996079713,10.709941096725379,6
193,Chevrolet,55621,Gasoline,Automatic,Silver,Black,no_accident,Unknown,3.6,331.9684177611007,6.254491996079713,10.450539024706163,5
194,Mazda,46707,Gasoline,Automatic,Silver,Black,yes_accident,Yes,2.5,331.9684177611007,6.254491996079713,10.390286841699265,3
195,Ford,26500,Gasoline,Automatic,White,Other,no_accident,Yes,3.5,440.0,6.0,11.095908894882296,2
196,Nissan,10001,Gasoline,Automatic,Black,Black,no_accident,Yes,5.6,331.9684177611007,6.254491996079713,10.76246691769717,4
197,Lexus,19050,Gasoline,Automatic,Black,Other,no_accident,Yes,5.7,383.0,8.0,11.250274159310356,5
198,Chevrolet,52000,Gasoline,Automatic,White,Black,no_accident,Yes,3.6,310.0,6.0,10.485731104959568,4
199,Mercedes-Benz,65000,Diesel,Automatic,Black,Black,yes_accident,Yes,3.0,188.0,6.0,10.915088464214607,10
200,BMW,140000,Gasoline,Unknown,Black,Other,no_accident,Yes,3.0,225.0,6.0,8.814479000010714,20
201,Ford,75600,Gasoline,Automatic,Blue,Black,yes_accident,Yes,1.5,181.0,4.0,9.612533466213927,6
202,Lincoln,117292,Gasoline,Automatic,Other,Other,no_accident,Yes,2.0,240.0,4.0,9.392745258631441,9
203,Ford,1897,Gasoline,Manual,White,Other,no_accident,Unknown,3.7039586206896553,331.9684177611007,6.254491996079713,12.971538162085645,19
204,Genesis,26000,Gasoline,Unknown,White,Other,no_accident,Yes,5.0,420.0,8.0,10.422311107413181,7
205,Lexus,2071,Gasoline,Automatic,Other,Other,no_accident,Unknown,5.0,331.9684177611007,6.254491996079713,11.512435344880998,2
206,Ford,15629,Gasoline,Manual,Black,Black,no_accident,Unknown,5.8,331.9684177611007,6.254491996079713,11.033291613631048,10
207,Saturn,15020,Gasoline,Automatic,Silver,Red,no_accident,Yes,2.4,173.0,4.0,9.825580063659602,16
208,Audi,11322,Gasoline,Automatic,Grey,Black,no_accident,Unknown,4.0,331.9684177611007,6.254491996079713,11.694421681264394,2
209,Toyota,50361,Gasoline,Automatic,Silver,Black,no_accident,Unknown,3.7039586206896553,331.9684177611007,6.254491996079713,11.097394869378626,8
210,Mercedes-Benz,115000,Gasoline,Unknown,Black,Black,yes_accident,Yes,4.6,429.0,8.0,10.491301994830229,11
211,Porsche,28500,Gasoline,Manual,Silver,Black,no_accident,Yes,3.8,355.0,6.0,11.05881093278828,19
212,Mercedes-Benz,51700,Gasoline,Unknown,White,Black,no_accident,Yes,2.0,375.0,4.0,10.373522431293592,6
213,Ford,148949,Gasoline,Automatic,Blue,Other,no_accident,Yes,3.5,263.0,6.0,8.268988209506656,16
214,BMW,39300,Gasoline,Automatic,White,Other,yes_accident,Yes,3.0,320.0,6.0,10.36567949988784,6
215,Honda,82323,Gasoline,Manual,Black,Black,no_accident,Yes,2.2,237.0,4.0,10.25769445336048,16
216,Acura,3574,Gasoline,Unknown,Blue,Other,no_accident,Unknown,3.7039586206896553,331.9684177611007,6.254491996079713,10.463074768634808,1
217,Ford,109357,Gasoline,Automatic,Green,Other,no_accident,Yes,6.8,310.0,10.0,9.453286550586572,23
218,Mercedes-Benz,46000,Gasoline,Automatic,White,Grey,no_accident,Yes,5.0,302.0,8.0,9.844480371956095,20
219,Mercedes-Benz,123112,Gasoline,Automatic,Silver,Black,yes_accident,Yes,5.5,382.0,8.0,11.56171562913966,17
220,INFINITI,37100,Gasoline,Manual,Grey,Black,no_accident,Yes,3.5,306.0,6.0,9.735128070758227,17
221,Volkswagen,89000,Gasoline,Manual,Silver,Black,no_accident,Yes,2.0,210.0,4.0,9.581972891547895,8
222,Dodge,1240,Gasoline,Automatic,Other,Black,no_accident,Unknown,6.4,331.9684177611007,6.254491996079713,10.894904309600681,2
