Index,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
1873,Land,Rover Range Rover Sport HST MHEV,2020,"52,000 mi.",Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Gray,Black,None reported,Yes,"$55,000"
602,Mercedes-Benz,AMG GT 63 S 4-Door,2019,"9,500 mi.",Gasoline,630.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Gray,None reported,Yes,"$135,000"
442,BMW,750 Li xDrive,2012,"103,000 mi.",Gasoline,407.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,"$16,000"
1786,Mitsubishi,Montero Limited,2004,"145,000 mi.",Gasoline,215.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,"$8,950"
218,Mercedes-Benz,SL-Class SL500 Roadster,2004,"46,000 mi.",Gasoline,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,"$18,853"
2113,GMC,Yukon XL Denali,2022,"48,306 mi.",Gasoline,6.2L V8 16V GDI OHV,10-Speed Automatic,Summit White,Jet Black,At least 1 accident or damage reported,Yes,"$71,999"
2850,Ford,Explorer Limited,2022,"17,500 mi.",Hybrid,318.0HP 3.3L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,White,Black,None reported,Yes,"$46,000"
736,Kia,Sorento LX V6,2019,"86,204 mi.",Gasoline,3.3L V6 24V GDI DOHC,8-Speed Automatic,Sparkling Silver,Satin Black,At least 1 accident or damage reported,,"$20,708"
3332,RAM,1500 Rebel,2020,"63,875 mi.",Hybrid,395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,"$41,900"
978,Hyundai,Equus Signature,2016,"72,000 mi.",Gasoline,429.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,"$21,400"
3825,Toyota,Prius Plug-in Base,2014,"106,000 mi.",Plug-In Hybrid,134.0HP 1.8L 4 Cylinder Engine Plug-In Electric/Gas,A/T,Green,Beige,At least 1 accident or damage reported,Yes,"$11,800"
1448,Hyundai,Genesis 3.8,2010,"98,700 mi.",Gasoline,290.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Beige,Beige,None reported,Yes,"$10,340"
2561,Jaguar,F-TYPE R,2015,"26,000 mi.",Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Red,None reported,Yes,"$52,500"
3391,Audi,SQ8 4.0T Premium Plus,2021,"43,238 mi.",Gasoline,500.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Red,None reported,Yes,"$76,400"
1149,Land,Rover Defender X-Dynamic SE,2023,"3,678 mi.",Hybrid,3.0 Liter,Automatic,Fuji White,Black,None reported,,"$81,998"
1626,Mitsubishi,Lancer Evolution GSR,2013,"76,500 mi.",Gasoline,291.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Black,None reported,Yes,"$28,000"
3416,Chevrolet,Silverado 1500 Z71 Extended Cab,2004,"185,000 mi.",Gasoline,295.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Gray,At least 1 accident or damage reported,Yes,"$10,500"
1231,Subaru,Outback 2.5i Limited,2015,"162,000 mi.",Gasoline,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Gray,Black,None reported,Yes,"$13,999"
1073,Hyundai,Genesis Coupe 3.8 R-Spec,2014,"52,060 mi.",Gasoline,348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,"$15,000"
2226,Pontiac,GTO Base,2005,"142,314 mi.",Gasoline,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Red,At least 1 accident or damage reported,Yes,"$21,999"
2313,Ford,Focus SEL,2017,"80,134 mi.",E85 Flex Fuel,2.0L I4 16V GDI DOHC Flexible Fuel,6-Speed Automatic with Auto-Shift,White,Charcoal Black,None reported,Yes,"$13,895"
2272,Mercedes-Benz,A-Class A 220 4MATIC,2019,"30,300 mi.",Gasoline,188.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,Yes,"$30,500"
1979,Mercedes-Benz,C-Class C 63 AMG,2012,"103,000 mi.",Gasoline,451.0HP 6.3L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,"$40,000"
2765,BMW,330 i xDrive,2018,"117,000 mi.",Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,None reported,Yes,"$17,000"
805,BMW,M3 Base,2011,"114,890 mi.",Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,"$20,990"
2714,Honda,Civic EX,2013,"107,000 mi.",Gasoline,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,"$14,000"
1334,Chevrolet,Trailblazer RS,2023,"10,000 mi.",Gasoline,155.0HP 1.3L 3 Cylinder Engine Gasoline Fuel,9-Speed A/T,Blue,Black,None reported,Yes,"$32,000"
1188,Jeep,Grand Cherokee L Laredo,2022,"22,109 mi.",Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Bright White Clearcoat,Global Black,,,"$43,389"
578,Genesis,G70 3.3T,2022,"12,000 mi.",Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Beige,None reported,Yes,"$41,000"
2970,Dodge,Durango R/T,2020,"78,000 mi.",Gasoline,360.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Red,At least 1 accident or damage reported,Yes,"$29,500"
1108,Mercedes-Benz,S-Class S 560,2019,"77,138 mi.",Gasoline,4.0 Liter,Automatic,designo Diamond White,Black,None reported,,"$49,998"
3440,Dodge,Dakota Big Horn/Lone Star,2010,"172,024 mi.",Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Brown,At least 1 accident or damage reported,Yes,"$7,500"
0,Ford,Utility Police Interceptor Base,2013,"51,000 mi.",E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$10,300"
2902,Jeep,Wrangler Sport,2014,"71,000 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Black,None reported,Yes,"$22,000"
2547,Mercedes-Benz,E-Class E 550,2014,"43,690 mi.",Gasoline,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,"$23,500"
3854,Chevrolet,Corvette Stingray w/2LT,2020,"8,974 mi.",Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Orange,Black,At least 1 accident or damage reported,Yes,"$79,900"
1815,Acura,TLX A-Spec,2020,"32,500 mi.",Gasoline,206.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,White,Red,None reported,Yes,"$32,000"
2452,Volkswagen,Jetta 1.4T SE,2017,"61,000 mi.",Gasoline,150.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,"$15,995"
888,Cadillac,XTS Luxury,2014,"62,950 mi.",Gasoline,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Gray,At least 1 accident or damage reported,Yes,"$17,498"
247,Mercedes-Benz,GLS 450 Base 4MATIC,2019,"19,800 mi.",Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Silver,Black,None reported,Yes,"$53,800"
1432,Hyundai,Genesis Coupe 3.8 Track,2013,"89,000 mi.",Gasoline,344.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,At least 1 accident or damage reported,Yes,"$12,500"
3874,Cadillac,XT5 Base,2019,"74,414 mi.",Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,None reported,Yes,"$26,000"
2398,Lexus,NX 300h Base,2020,"16,425 mi.",Hybrid,2.5L I4 16V MPFI DOHC Hybrid,Automatic CVT,Gray,Black,At least 1 accident or damage reported,,"$33,200"
3470,Porsche,Taycan Turbo,2020,"2,076 mi.",,Electric,Automatic,Gray,Red,None reported,,"$115,998"
3350,Chevrolet,Corvette Stingray w/2LT,2022,"3,158 mi.",Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Red,None reported,Yes,"$85,989"
3541,Mercedes-Benz,E-Class E 350,2016,"58,375 mi.",Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,"$24,999"
1298,Audi,Q5 2.0T Premium,2012,"119,000 mi.",Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,–,None reported,Yes,"$12,000"
2002,BMW,650 i xDrive,2015,"76,474 mi.",Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,"$32,000"
650,Lexus,CT 200h Premium,2015,"101,000 mi.",Hybrid,134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Black,Black,At least 1 accident or damage reported,Yes,"$16,500"
3441,Jeep,Wrangler Sport,2012,"57,237 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,"$22,500"
1351,Land,Rover Range Rover Sport Supercharged,2011,"40,000 mi.",Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Brown,At least 1 accident or damage reported,Yes,"$20,000"
2820,RAM,1500 Laramie,2022,"16,184 mi.",Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Granite Crystal Clearcoat Metallic,Black,None reported,,"$46,999"
2097,Ford,Explorer XLT,2021,"33,705 mi.",Gasoline,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,White,Light Slate,At least 1 accident or damage reported,Yes,"$36,995"
175,Genesis,G70 2.0T,2023,"4,785 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,Vik Black,Obsidian Black,None reported,Yes,"$42,850"
278,Nissan,Titan XD S,2019,"53,677 mi.",Gasoline,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,Gray,None reported,Yes,"$27,900"
1644,Chevrolet,Avalanche 1500 LS,2012,"56,000 mi.",E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Red,Black,At least 1 accident or damage reported,Yes,"$18,000"
2860,BMW,M3 Base,2002,"60,255 mi.",Gasoline,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Yellow,Black,None reported,Yes,"$28,750"
3363,Ford,F-150 Platinum,2018,"37,100 mi.",E85 Flex Fuel,395.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,10-Speed A/T,Black,Black,None reported,Yes,"$46,000"
999,Chevrolet,Suburban LT,2017,"207,571 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$21,000"
2536,Acura,TL 3.7,2012,"70,000 mi.",Gasoline,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,"$15,051"
3166,Lamborghini,Gallardo LP550-2,2013,"22,000 mi.",Gasoline,550.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,"$150,000"
691,Kia,Optima EX,2012,"152,520 mi.",Gasoline,200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,"$10,900"
2636,Lexus,LX 570 Three-Row,2020,"59,419 mi.",Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Beige,None reported,Yes,"$73,000"
416,Ford,F-250 Lariat,2019,"35,597 mi.",E85 Flex Fuel,6.2L V8 16V MPFI SOHC Flexible Fuel,6-Speed Automatic,Black,Black,None reported,,"$47,756"
1507,BMW,135 i,2011,"132,000 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Beige,None reported,Yes,"$11,000"
217,Ford,Excursion Limited,2001,"109,357 mi.",Gasoline,310.0HP 6.8L 10 Cylinder Engine Gasoline Fuel,A/T,Green,Beige,None reported,Yes,"$12,749"
1017,Mitsubishi,Lancer Evolution IX,2006,"77,000 mi.",Gasoline,286.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Silver,Black,None reported,Yes,"$57,000"
1978,Chevrolet,Silverado 1500 LT,2019,"53,433 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,Yes,"$36,950"
3824,Porsche,911 Carrera S,2013,"56,985 mi.",Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Gray,None reported,Yes,"$65,900"
3569,Lexus,RX 350 Base,2017,"103,866 mi.",Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Beige,Beige,At least 1 accident or damage reported,Yes,"$24,700"
3730,Pontiac,Solstice Base,2007,"62,310 mi.",Gasoline,177.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Black,None reported,Yes,"$12,900"
1047,Tesla,Model X Long Range Plus,2020,"43,534 mi.",,534.0HP Electric Motor Electric Fuel System,1-Speed A/T,Black,Black,None reported,Yes,"$65,990"
3449,GMC,Yukon Denali,2019,"88,450 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,"$42,900"
2359,Ford,Taurus SHO,2014,"138,415 mi.",Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,Yes,"$15,500"
727,RAM,2500 Tradesman,2022,"1,300 mi.",Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Black,None reported,Yes,"$48,000"
2147,RAM,2500 Laramie,2017,"117,878 mi.",Diesel,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,Transmission w/Dual Shift Mode,Red,Black,None reported,Yes,"$42,000"
2890,McLaren,720S Performance,2020,"9,989 mi.",Gasoline,710.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,"$324,995"
2801,Land,Rover Range Rover Velar R-Dynamic S,2023,"12,425 mi.",Gasoline,I4,Automatic,Firenze Red,Ebony,None reported,,"$57,619"
3807,Toyota,4Runner Limited Nightshade,2019,"48,842 mi.",Gasoline,4.0L V6 24V MPFI DOHC,5-Speed Automatic,White,–,At least 1 accident or damage reported,Yes,"$39,857"
449,BMW,M3 Base,2015,"65,800 mi.",Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Red,None reported,Yes,"$44,950"
1402,Lincoln,Nautilus Reserve,2021,"18,160 mi.",Gasoline,2.7L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,Silver Radiance,Slate,None reported,,"$46,850"
376,Hyundai,Santa Fe SEL,2022,"26,895 mi.",Gasoline,2.5L I4 16V PDI DOHC,8-Speed Automatic,Quartz White,Black,,,"$29,800"
1378,Lincoln,Navigator Premiere,2018,"23,500 mi.",Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$50,000"
1174,Chevrolet,Camaro ZL1,2020,"3,715 mi.",Gasoline,650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,"$150,000"
2528,Lincoln,MKS Base,2015,"124,400 mi.",Gasoline,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,"$9,500"
433,Hyundai,Veloster Turbo R-Spec,2014,"128,000 mi.",Gasoline,201.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Red,None reported,Yes,"$11,000"
3135,RAM,1500 Rebel,2020,"57,300 mi.",Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,"$43,500"
371,GMC,Acadia SLE,2020,"30,900 mi.",Gasoline,2.5L I4 16V GDI DOHC,9-Speed Automatic,Summit White,Jet Black,None reported,Yes,"$27,654"
3286,BMW,X1 xDrive28i,2019,"52,253 mi.",Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,"$34,500"
2403,Ford,Transit-350 Base,2015,"150,000 mi.",Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,Yes,"$17,100"
2130,BMW,335 i,2009,"123,000 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Purple,Black,None reported,Yes,"$15,000"
700,Volvo,V60 T6 R-Design Platinum,2015,"59,271 mi.",Gasoline,325.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,None reported,Yes,"$29,900"
1468,Lexus,LX 570 Base,2016,"33,655 mi.",Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Brown,None reported,Yes,"$62,900"
644,Audi,A3 2.0 TDI Premium Plus,2015,"83,000 mi.",Diesel,150.0HP 2.0L 4 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$18,999"
2857,Toyota,Camry Solara SE,2008,"57,852 mi.",Gasoline,210.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,,,"$13,900"
665,Chevrolet,Suburban LT,2017,"195,361 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Transmission Overdrive Switch,Black,Black,At least 1 accident or damage reported,Yes,"$26,000"
915,Bentley,Flying Spur V8,2022,"27,858 mi.",Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic with Auto-Shift,–,–,None reported,Yes,"$197,750"
1510,Lexus,LS 430 Base,2002,"42,000 mi.",Gasoline,290.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,"$15,999"
1211,Chevrolet,Camaro 2SS,2017,"13,465 mi.",Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,"$44,900"
2481,Chevrolet,Malibu Premier,2021,"33,400 mi.",Gasoline,250.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,"$28,000"
3358,Toyota,Corolla LE,2016,"17,500 mi.",Gasoline,132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,None reported,Yes,"$15,100"
1487,Ford,Bronco,2021,"3,596 mi.",Gasoline,2.7L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Blue,Black Onyx,None reported,,"$56,900"
3548,BMW,650 Gran Coupe i xDrive,2014,"82,978 mi.",Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,White,None reported,Yes,"$18,700"
794,Mazda,CX-7 Grand Touring,2007,"83,150 mi.",Gasoline,244.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,"$6,950"
3600,Porsche,911 Turbo S,2023,154 mi.,Gasoline,3.8L H6 24V GDI DOHC Twin Turbo,8-Speed Automatic with Auto-Shift,Python Green,Black,None reported,,"$274,900"
246,Nissan,NV Passenger NV3500 HD SL V8,2017,"46,496 mi.",Gasoline,375.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,"$41,000"
3593,Chevrolet,Impala 1LT,2017,"70,000 mi.",Gasoline,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,"$17,900"
734,Ford,Mustang GT Premium,2012,"105,500 mi.",Gasoline,412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,Yes,"$19,000"
505,BMW,X7 xDrive40i,2023,"2,950 mi.",Hybrid,375.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Black,Brown,None reported,Yes,"$87,000"
3116,Mercedes-Benz,Sprinter 2500,2016,"139,200 mi.",Diesel,161.0HP 2.1L 4 Cylinder Engine Diesel Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,"$22,000"
923,Dodge,Challenger R/T,2010,"100,100 mi.",–,–,Transmission w/Dual Shift Mode,Purple,Black,None reported,Yes,"$17,000"
3679,Land,Rover Range Rover Sport Supercharged HSE,2016,"49,799 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Brown,Brown,None reported,Yes,"$37,500"
1454,Chrysler,Crossfire Limited,2005,"24,847 mi.",Gasoline,3.2L V6 18V MPFI SOHC,5-Speed Automatic,White,Dark Gray,None reported,Yes,"$13,046"
3452,Chevrolet,Silverado 1500 LT Trail Boss,2020,"49,000 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,"$44,900"
1592,BMW,M4 Base,2015,"23,700 mi.",Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,"$42,800"
532,Nissan,NV Passenger NV3500 HD SL V8,2020,"14,353 mi.",Gasoline,375.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,"$63,900"
1278,Cadillac,Escalade ESV Luxury,2020,"120,000 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,"$55,000"
108,Jeep,Gladiator Rubicon,2022,"27,300 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Black,None reported,Yes,"$47,500"
1874,Mercedes-Benz,E-Class AMG E 53,2020,"23,044 mi.",Hybrid,3.0 Liter Turbo,Automatic,Emerald Green Metallic,Black/Saddle Brown,None reported,,"$72,598"
1041,Jeep,Gladiator Freedom,2021,"30,630 mi.",Gasoline,3.6 Liter,Automatic,Hydro Blue Pearlcoat,Black,None reported,,"$39,998"
2420,Ford,Flex Limited,2009,"162,000 mi.",Gasoline,262.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,"$7,500"
3799,RAM,1500 Big Horn,2014,"124,000 mi.",Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,"$24,850"
2776,Ford,F-150 XLT,2020,"57,000 mi.",Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Gray,At least 1 accident or damage reported,Yes,"$37,500"
